Word,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10,similar11,similar12,similar13,similar14,similar15,similar16,similar17,similar18,similar19,similar20,similar21,similar22,similar23,similar24,similar25,similar26,similar27,similar28,similar29,similar30,similar31,similar32,similar33,similar34,similar35,similar36,similar37,similar38,similar39,similar40,similar41,similar42,similar43,similar44,similar45,similar46
be configured by,be configured by,be fixed with,be fitted with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be modified by,be modified by,be altered,be changed by,be qualified by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be obtained by,be obtained by,be got by,be acquired by,be received by,be gained by,be hold by,be prevailed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be perceived by,be perceived by,be sensed by,be comprehended by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be received by,be received by,be obtained by,be got by,be acquired by,be gained by,be hold by,be prevailed by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be responsible for,be responsible for,answer for,lie behind,be creditworthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be transmitted by,be transmitted by,be channeled by,be conveyed by,be released by,be sent by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,take in,throw,have got,rich person,own,give birth,possess,hold,consume,wealthy person,stimulate,induce,receive,deliver,take,bear,have,cause,experience,suffer,let,birth,feature,get,accept,give,sustain,ingest,make,,,,,,,,,,,,,,,,,
help,aid,help oneself,facilitate,avail,service,serve,helper,assistant,supporter,assist,help,assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
include,admit,let in,include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receive,find,invite,incur,obtain,take in,get,encounter,have,experience,pick up,meet,receive,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognize,recognise,spot,discern,agnise,make out,tell apart,agnize,recognize,accredit,acknowledge,know,greet,realise,pick out,realize,distinguish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refuse,garbage,scraps,turn down,deny,reject,refuse,food waste,pass up,defy,resist,decline,turn away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop,catch,blockade,block off,quit,break,arrest,intercept,occlusion,layover,give up,cease,blockage,hold back,stay,block,discontinue,closure,full stop,diaphragm,end,occlusive,stopover,hold on,plosive consonant,bar,period,stoppage,lay off,plosive speech sound,break off,halt,contain,kibosh,plosive,hitch,barricade,turn back,stop over,stop,stop consonant,full point,finish,block up,check,terminate,point
