Risk_id,Requirement,r,t1,action1,subject1,object1,verb1,verb phrase1,adv1,time1,type1,action2,subject2,object2,verb2,verb phrase2,adv2,time2,type2,state3,subject3,adj3,time3,type3,t2,condition sentence,action4,subject4,object4,verb4,verb phrase4,adv4,time4,type4,action5,subject5,object5,verb5,verb phrase5,adv5,time5,type5
0,"For safety precaution, AGV1 shall receive the AGV1-control command at the right time.",0,0,AGV1 receive the AGV1-control command at the right time,AGV1,AGV1-control command,receive,,,at the right time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"For safety precaution, the control center shall transmit the AGV1-control command at the right time. ",0,0,The control center shall transmit the AGV1-control command at the right time. ,Control center,AGV1-control command,transmit,,,at the right time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"For safety precaution, the AGV1-control command shall be complete.",0,0,,,,,,,,,,,,,,,,,AGV1-control command shall be complete.,AGV1-control command,complete,,,,,,,,,,,,,,,,,,,,
3,"For safety precaution, the AGV1-control command shall be available when AGV1 needs it.",1,0,,,,,,,,,,,,,,,,,AGV1-control command shall be available ,AGV1-control command,available,,,0,when AGV1 needs it.,AGV1 needs AGV1-control command,AGV1,AGV1-control command,need,,,,,,,,,,,,
4,"For safety precaution, AGV1 shall recognize errors in the AGV1-control command and execute the correct command.",0,1,AGV1 shall recognize errors in the AGV1-control command and execute the correct command.,AGV1,Errors,recognize,in the AGV1-control command,,,,AGV1 shall execute the correct command.,AGV1,Correct command,execute,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"For security precaution, the AGV1-control command shall be obtained by AGV1 merely.",0,0,AGV1-control command shall be obtained by AGV1 merely.,AGV1-control command,AGV1 ,be obtained by,,merely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"For security precaution, the AGV1-control command shall be modified by the control center merely.",0,0,AGV1-control command shall be modified by the control center merely.,AGV1-control command,Control center,be modified by,,merely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"For security precaution, the AGV1-control command shall be available when AGV1 needs it.",1,0,,,,,,,,,,,,,,,,,AGV1-control command shall be available,AGV1-control command,available,,,0, when AGV1 needs it.,AGV1 needs AGV1-control command,AGV1,AGV1-control command,need,,,,,,,,,,,,
8,"For security precaution, the reception action of AGV1 shall be configured by AGV1 merely.",0,0,the reception action of AGV1 shall be configured by AGV1 merely.,Reception action of AGV1,AGV1,be configured by,,merely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"For security precaution, the transmission action of the control center shall be configured by the control center merely.",0,0,the transmission action of the control center shall be configured by the control center merely.,Transmission action of the control center,Control center,be configured by,,merely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"For security precaution, the AGV1-control command shall be obtained by AGV1 merely.",0,0,the AGV1-control command shall be obtained by AGV1 merely.,AGV1-control command,AGV1,be obtained by,,merely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"For security precaution, the control center shall be responsible for the AGV1-control command.",0,0,the control center shall be responsible for the AGV1-control command.,Control center,AGV1-control command,be responsible for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"For safety detection, the AGV1-state data shall be within a specified scope.",0,0,,,,,,,,,,,,,,,,,the AGV1-state data shall be within a specified scope,AGV1-state data,within a specified scope,,,,,,,,,,,,,,,,,,,,
13,"For safety detection, the transmission state of the AGV1-state data shall be perceived by the AGV1.",0,0,the transmission state of the AGV1-state data shall be perceived by the AGV1.,Transmission state of the AGV1-state data,AGV1,be perceived by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"For safety detection, the the reception state of the AGV1-state data shall be perceived by the control center.",0,0,the reception state of the AGV1-state data shall be perceived by the control center.,Reception state of the AGV1-state data,Control center,be perceived by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"For safety detection, the AGV1-state data shall be transmitted by the AGV1 within the specified time.",0,0,the AGV1-state data shall be transmitted by the AGV1 within the specified time.,AGV1-state data,AGV1,be transmitted by,,,within the specified time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
